intent,afirmasi,alih,almamater,almet,ambil,berkas,berkebutuhan,biaya,brawijaya,calon,daftar,diambil,dibayar,dilaksanakan,dimana,diperoleh,dipersiapkan,diploma,disabilitas,diumumkan,diunggah,extend,fakultas,filkom,fk,fkh,hasil,hewan,hukuman,ipi,jadwal,jalur,jas,kampus,kedokteran,kehidupan,kesehatan,ketentuan,keterlambatan,khusus,konfirmasi,kuliah,maba,mahasiswa,mandiri,mekanisme,memperoleh,memperpanjang,mendaftar,mengajukan,mengikuti,mengundur,mengunggah,nilai,orientasi,ospek,pangkal,pelaksanaan,pembayaran,pendaftaran,pendidikan,penerimaan,penetapan,pengambilan,pengenalan,pengumuman,penyandang,perpanjangan,persiapan,persyaratan,perubahan,pkkmb,pkmaba,prestasi,program,proporsional,psikologi,rapor,registrasi,sanksi,sap,sbmptn,seleksi,sistem,smpd,smpv,smub,snmptn,spp,susulan,syarat,tata,terlambat,tes,uang,ub,ukt,ulang,universitas,utbk,verifikasi,vokasi,wajib
tes_kesehatan_S1_mandiri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5384392896272284,0.0,0.0,0.0,0.0,0.0,0.22459942950487086,0.0,0.0,0.0,0.0,0.560320992115393,0.0,0.0,0.0,0.0,0.0,0.0,0.22459942950487086,0.2966164947076093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45524978284463935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tes_kesehatan_S1_mandiri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45728711616989814,0.0,0.0,0.0,0.0,0.0,0.19074838591885135,0.0,0.0,0.0,0.0,0.4758708652024547,0.0,0.0,0.0,0.0,0.0,0.0,0.19074838591885135,0.25191122580815356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5279385162163976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38663571612339864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tes_kesehatan_S1_mandiri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46457892305359966,0.0,0.0,0.0,0.0,0.0,0.0,0.46457892305359966,0.0,0.4433868545722715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.491900251159846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3602430965474604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tes_kesehatan_S1_mandiri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5202658854243595,0.0,0.0,0.0,0.0,0.4556959782582645,0.0,0.0,0.0,0.0,0.0,0.0,0.4556959782582645,0.0,0.4349091110572296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3533550967249577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tes_kesehatan_S1_mandiri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38548023897579625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44911809153706367,0.0,0.0,0.0,0.0,0.0,0.0,0.44911809153706367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17181283953912288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38548023897579625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34825448160103306,0.0,0.0,0.0,0.0,0.38548023897579625,0.0,0.0,0.0,0.0
tes_kesehatan_S1_mandiri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5503516786946085,0.0,0.0,0.0,0.0,0.0,0.2295684498570557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3031788150226922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5150610463663879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4653216937184544,0.0,0.26586049458436145,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tes_kesehatan_S1_mandiri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
daftar_ulang_S1_afirmasi,0.45179597263263205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44529621809621867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2614704800147876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5701800281103412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45179597263263205,0.0,0.0,0.0,0.0,0.0
daftar_ulang_S1_afirmasi,0.4249692960484511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4188554830064005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6807071904920962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4249692960484511,0.0,0.0,0.0,0.0,0.0
daftar_ulang_S1_afirmasi,0.48786655139759433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48084786813635755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2823458133851336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4615610744283407,0.0,0.0,0.0,0.0,0.0,0.48786655139759433,0.0,0.0,0.0,0.0,0.0
